"CHA5";"14";"de";"Hütte (5 Personen, max. 4 Erwachsene)";"hutte-5-personen-max-4-erwachsene";"Mit integrierter und überdachter Terrasse";;;;;"Ferien einmal ganz anders – dieses Chalet, im Schatten der Bäume gelegen, bietet allen Komfort aus Holz. Zwei Zimmer und eine Terrasse sorgen für ideale und unvergessliche Ferien …";"Empfohlen für 5 Personen: 2 Erwachsene (ab 14 Jahren) + 3 Kinder, inkl. Baby
Wir akzeptieren maximal 4 Erwachsene (ab 14 Jahren) + 1 Kind, inkl. Baby";"Größe: 28 m²
5,95 x  4,80 m (LxB)";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost
1 Schlafzimmer mit 2 Einzelbetten von 80 x 190 cm mit Lattenrost und 1 Stockbett (nicht für Kinder unter 6 Jahren geeignet) von 80 x 200 cm auf dem Campingplatz „Le Petit Mousse“
Wohn-/Esszimmer: Kochnische mit Spülbecken, Warmwasserboiler, Elektro-Kochplatten, Kühlschrank, Essecke, 1 Tisch und 2 Stühle, Sitz- oder Eckbank, die als Schlafcouch verstellt werden kann (Campingplatz „Le Mas“). Keine Mikrowelle.
Badezimmer mit Dusche und Waschbecken, WC separat";"Innen: Elektroheizung, 2 Gasflaschen
Außen: Beleuchtung, Gartenmöbel
Elektrizität: 6 Ampere
Parkplatz: In der Regel neben dem Chalet (1 Auto pro Chalet)";"Ab 12 Jahren";"Die Aufteilung kann je nach Campingplatz variieren.";;;;"1"
"CHA6";"15";"de";"Hütte (6 Personen)";"hutte-6-personen";"Mit integrierter und überdachter Terrasse";;;;;;;;;;;;;;;"1"
"CON5";"16";"de";"Conviviale (5 Personen, max. 4 Erwachsene)";"conviviale-5-personen-max-4-erwachsene";"Mit sanitären Einrichtungen";;;;;"Der Caravan Conviviale ist die ideale Unterkunft für den Urlaub mit der ganzen Familie. Er ist für 5 Personen vorgesehen und mit einem Vordach und sanitären Einrichtungen ausgestattet. Sie werden jeden Tag aufs Neue die Freude am Wohnen im Freien genießen, in aller Freiheit und Einfachheit ...";"Empfohlen für 5 Personen: 2 Erwachsene (ab 14 Jahren) + 3 Kinder, inkl. Baby
Wir akzeptieren maximal 4 Erwachsene (ab 14 Jahren) + 1 Kind, inkl. Baby";"Größe: Conviviale 13 m² + Vordach 12 m²
5,40 x 4,80 m (LxB)";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost, Schrank
1 Schlafzimmer mit 2 Stockbetten von 70 x 180 cm mit Lattenrost, Essecke, die als Schlafcouch (80 x 180 cm) verstellt werden kann.
Badezimmer mit Waschbecken, Dusche, WC
Unter dem Vordach: Küche mit Kühlschrank, 2 Kochplatten mit 2 Gasflaschen, Schrank (120 x 150 cm), Spülbecken mit Wasseranschluss, Gartenmöbel";"Elektrizität: 220 V sowie Steckdosen
Parkplatz: In der Regel neben dem Caravan (1 Auto pro Caravan)";"Ab 12 Jahren";"Die Aufteilung kann je nach Campingplatz variieren.";"Unterkunft mit sanitären Einrichtungen, ohne Heizung";;;"1"
"COR4";"17";"de";"Cordial (4 Personen)";"cordial-4-personen";"Mit sanitären Einrichtungen";;;;;"In diesem gut durchdachten Mobilhome verbringen Sie einen gemütlichen und erholsamen Urlaub.";"4 Personen";"Größe: 25 m²";"1 Schlafzimmer mit 140 x 190 cm großem Bett
1 Schlafzimmer mit 2 Einzelbetten von 80 x 180 cm
Wohn-/Esszimmer: Kochnische mit Spülbecken, Warmwasserboiler, Kochplatten, Mikrowelle, Kühlschrank, Essecke
Badezimmer mit Waschbecken, Dusche und WC";"Innen: Elektroheizung, 2 Gasflaschen
Außen: Beleuchtung, Gartenmöbel
Elektrizität: 6 Ampere
Parkplatz: In der Regel neben dem Mobilhome (1 Auto pro Mobilhome)";"0-7 Jahre";"Die Aufteilung kann je nach Campingplatz variieren.";;;;"1"
"COR6";"18";"de";"Cordial (6 Personen, max. 5 Erwachsene)";"cordial-6-personen-max-5-erwachsene";"Mit 2 Zimmern und Schlafcouch";;;;;"Sie haben Lust, dem Alltag zu entfliehen, Neues und Authentisches zu entdecken? Vacances directes bietet Ihnen das Mobilhome Cordial für 6 Personen an. Garantiert gelungene Ferien für Groß und Klein!";"Empfohlen für 6 Personen: 2 Erwachsene (ab 14 Jahren) + 4 Kinder, inkl. Baby
Wir akzeptieren maximal 5 Erwachsene (ab 14 Jahren) + 1 Kind, inkl. Baby";"Größe: 23 m²
7,60 x 3 m (LxB)";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost
1 Schlafzimmer mit 2 Einzelbetten von 70 x 180 cm mit Lattenrost + 1 Stockbett von 60 x 180 cm (nicht für Kinder unter 6 Jahren geeignet), außer auf dem Campingplatz „La Marine
“
Ess-/Wohnzimmer: Kochnische mit Spülbecken, Warmwasserboiler, 4 Gas-Kochplatten, Mikrowelle, Kühlschrank, Essecke, Sitz- oder Eckbank, die als Schlafcouch von 115 x 180 cm verstellt werden kann (außer in Italien), 1 Tisch und 2 Stühle
Badezimmer mit Waschbecken und Dusche, WC separat (in Italien im Badezimmer integriert)";"Innen: Elektro-Heizung, 2 Gasflaschen
Außen: Beleuchtung, Sonnenschirm (nicht für den Strand geeignet), Gartenmöbel
Elektrizität: 6 Ampere
Parkplatz: In der Regel neben dem Mobilhome (1 Auto pro Mobilhome)";"0-7 Jahre (7-12 Jahre: le California, le Col Vert, les Marsouins, le Cala Gogo, les Fontaines, le Pinada, la Marine, Camping du Lac, Saint-Louis und ab 12 Jahren: Le Mas)";"Die Aufteilung kann je nach Campingplatz variieren. Nicht alle Mobilhomes sind mit einer Terrasse ausgestattet";;;;"1"
"DOM5";"19";"de";"Domanial (5 Personen, max. 5 Erwachsene)";"domanial-5-personen-max-5-erwachsene";"Mit großem Wohnraum";;;;;"Entdecken Sie das Mobilhome Domanial für 5 Personen, und sehen Sie Ihrem Urlaub mit Freude entgegen.";"Empfohlen für 5 Personen: 2 Erwachsene (ab 14 Jahren) + 3 Kinder, inkl. Baby
Wir akzeptieren maximal 4 Erwachsene (ab 14 Jahren) + 1 Kind, inkl. Baby";"Größe: 31 m²
7,80 m x 4 m (LxB)";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost (Domaine de Léveno mit einem Bett von 160 x 190 cm)
1 Schlafzimmer mit 2 Einzelbetten von 80 x 190 cm mit Lattenrost
Wohn-/Esszimmer: Kochnische mit Spülbecken, Warmwasserboiler, 4 Gas-Kochplatten, Mikrowelle, Kühlschrank, Essecke mit Sitz- oder Eckbank, die in eine Schlafcouch von 115 x 180 cm verstellt werden kann (Les Deux Fontaines und Loyada sind mit einem 90 x 190 cm großen Bett ausgestattet), 1 Tisch und 4 Stühle
Badezimmer mit Waschbecken und Dusche, WC separat";"Innen: Elektro-Heizung, 2 Gasflaschen
Außen: Beleuchtung, Sonnenschirm (nicht für den Strand geeignet), Gartenmöbel
Elektrizität: 10 Ampere
Parkplatz: In der Regel neben dem Mobilhome (1 Auto pro Mobilhome)";"0-7 Jahre";"Die Aufteilung kann je nach Campingplatz variieren. Nicht alle Mobilhomes sind mit einer Terrasse ausgestattet";"Keine Sonnenliege";;;"1"
"DOM6";"20";"de";"Domanial (6 Personen, max. 5 Erwachsene)";"domanial-6-personen-max-5-erwachsene";"Mit großem Wohnraum";;;;;"Vacances directes bietet Ihnen das Mobilhome Domanial an, damit jeder seinen Urlaub auf seine ganz persönliche Weise und in einem komfortablen Lebensraum genießen kann!";"Empfohlen für 6 Personen: 2 Erwachsene (ab 14 Jahren) + 4 Kinder, inkl. Baby
Wir akzeptieren maximal 5 Erwachsene (ab 14 Jahren) + 1 Kind, inkl. Baby";"Größe: 31 m²
7,80 x 4 m (LxB)";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost
1 Schlafzimmer mit 2 Einzelbetten von 80 x 190 cm mit Lattenrost + 1 Stockbett (nicht für Kinder unter 6 Jahren geeignet) oder 1 Beistellbett von 70 x 190 cm
Wohn-/Esszimmer: Kochnische mit Spülbecken, Warmwasserboiler, 4 Gas-Kochplatten, Mikrowelle, Kühlschrank, Essecke mit Sitz- oder Eckbank, die als Schlafcouch von 115 x 180 cm verstellt werden kann, 1 Tisch und 4 Stühle
Badezimmer mit Waschbecken und Dusche, WC separat";"Innen: Elektro-Heizung, 2 Gasflaschen
Außen: Beleuchtung, Sonnenschirm (nicht für den Strand geeignet), Gartenmöbel
Elektizität: 10 Ampere
Parkplatz: In der Regel neben dem Mobilhome (1 Auto pro Mobilhome)";"0-7 Jahre (7-12 Jahre: le Conguel, Domaine de Kermario, la Loubine, les Deux Plages, les Vignes, le Mas, le Petit Mousse, le Bahia Club, les Fontaines)";"Die Aufteilung kann je nach Campingplatz variieren. Nicht alle Mobilhomes sind mit einer Terrasse ausgestattet";"Keine Sonnenliege";;;"1"
"DOML";"21";"de";"Domanial Luxe (6 Personen, max. 5 Erwachsene)";"domanial-luxe-6-personen-max-5-erwachsene";"Mit geräumigem Wohnzimmer";;;;;"Jeder hat seine eigenen Bedürfnisse und individuelle Urlaubsansprüche. Aus diesem Grund bietet Ihnen Vacances directes das außergewöhnliche Mobilhome Domanial Luxe – geräumig und mit allem Komfort  ausgestattet – an.";"Empfohlen für 6 Personen: 2 Erwachsene (ab 14 Jahren) + 4 Kinder, inkl. Baby
Wir akzeptieren maximal 5 Erwachsene (ab 14 Jahren) + 1 Kind, inkl. Baby";"Größe: 35 m²
9,72 x 4 m (LxB)";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost, Rollläden
1 Schlafzimmer mit 2 Einzelbetten von 80 x 190 cm mit Lattenrost, Rollläden
Wohn-/Esszimmer: Kochnische mit Spülbecken, Warmwasserboiler, 4 Gas-Kochplatten, Mikrowelle, Kühlschrank, Essecke mit 1 verlängerbarem Tisch und 4 Stühlen, Wohnbereich mit einer Schlafcouch (160 x 200 cm) und Couchtisch
Badezimmer mit Waschbecken und Dusche, WC separat";"Innen: Elektro-Heizung, 2 Gasflaschen
Außen: Beleuchtung, Sonnenschirm (nicht für den Strand geeignet), Gartenmöbel
Elektrizität: 10 Ampere
Parkplatz: In der Regel neben dem Mobilhome (1 Auto pro Mobilhome)";"7-12 Jahre";"Die Aufteilung kann je nach Campingplatz variieren. Nicht alle Mobilhomes sind mit einer Terrasse ausgestattet.";;;;"1"
"EMPF";"22";"de";"Stellplatz mit Meerblick";"stellplatz-mit-meerblick";"Am Meer";;;;;"Verbringen Sie ein paar Tage auf dem Campingplatz „Palavas Camping“ in Palavas-les-Flots, und genießen Sie Ihren Urlaub im Freien";"Bis maximal 6 Personen";;;"Elektrizitätsanschluss";;"Wir akzeptieren 1 Auto pro Stellplatz";;;;"1"
"EMPL";"23";"de";"Stellplatz";"stellplatz";"Mit Strom";;;;;"Verbringen Sie ein paar Tage auf dem Campingplatz „Domaine de Kermario“ in Carnac oder auf dem Campingplatz „Palavas Camping“ in Palavas-les-Flots, und genießen Sie Ihren Urlaub im Freien";"Bis maximal 6 Personen";;;"Elektrizitätsanschluss";;"Wir akzeptieren 1 Auto pro Stellplatz";;;;"1"
"EST5";"24";"de";"Estivale (5 Personen, max. 4 Erwachsene)";"estivale-5-personen-max-4-erwachsene";"Ohne sanitäre Einrichtungen";;;;;"Sie möchten Ihren Urlaub in aller Einfachheit genießen? Der Caravan „Estivale“ ist die richtige Unterkunft, um das Leben im Freien zu verbringen. Vacances directes bietet Ihnen diesen Caravan für 5 Personen ohne sanitäre Einrichtungen und mit Vordach ausgestattet an, damit Sie die Aktivitäten, die auf dem Campingplatz und in seiner Umgebung geboten werden, vollständig nutzen können.";"Empfohlen für 5 Personen: 2 Erwachsene + 3 Kinder, inkl. Baby
Wir akzeptieren maximal 4 Erwachsene (ab 14 Jahren) + 1 Kind, inkl. Baby";"Größe: Estivale 10 m² + Vordach 11 m²
4,60 x 4,65 m (LxB)";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost, Schrank
1 Schlafzimmer: 2 Stockbetten von 70 x 180 cm mit Lattenrost, Essecke, die als Schlafcouch von 70 x 180 cm verstellt werden kann
Unter dem Vordach: Küche mit Kühlschrank, 2 Kochplatten mit Gasflasche, Schrank (120 x 150 cm), Gartenmöbel";"Elektrizität: 220 V + Steckdosen
Parkplatz: In der Regel neben dem Caravan (1 Auto pro Caravan)";"Ab 12 Jahren";"Die Aufteilung kann je nach Campingplatz variieren.";"Unterkunft ohne Wasseranschluss, sanitäre Einrichtungen und Heizung";;;"1"
"FAM5";"25";"de";"Familial (5 Personen, max. 5 Erwachsene) Klimatisiert";"familial-5-personen-max-5-erwachsene-klimatisiert";"Mit 2 Zimmern";;;;;"Sie haben Lust, dem Alltag zu entfliehen, Neues und Authentisches zu entdecken? Durch die Klimaanlage wird der vom Mobilhome Familial für 5 Personen gebotene Komfort noch abgerundet!";"Empfohlen für 5 Personen: 2 Erwachsene + 3 Kinder, inkl. Baby
Wir akzeptieren maximal 5 Erwachsene.";"Größe: 26 m²";"1 Schlafzimmer mit 140 x 190 cm großem Bett mit Lattenrost, Schrank
1 Schlafzimmer mit 2 Einzelbetten von 80 x 190 cm mit Lattenrost + 1 Stockbett (nicht für Kinder unter 6 Jahren geeignet)
Wohn-/Esszimmer: Kochnische mit Spülbecken, Warmwasserboiler, 4 Gas-Kochplatten, Mikrowelle, Kühlschrank, Essecke
Badezimmer mit Waschbecken und Dusche, WC separat";"Innen: Elektro-Heizung, 2 Gasflaschen
Außen: Beleuchtung, Sonnenschirm (nicht für den Strand geeignet), Gartenmöbel
Elektrizität: 10 Ampere
Parkplatz: In der Regel neben dem Mobilhome (1 Auto pro Mobilhome)";"0-7 Jahre";"Die Aufteilung kann je nach Campingplatz variieren.";;;;"1"
