MDIR;1;de;Direkter Zugang zum Meer;Ferien mit der Familie oder Freunden am Meer – auf zum Strand!;direkt am Strand, Meer, Strand, Küste, Ozean, Mittelmeer, Atlantik, Sandburgen;1
PEAU;2;de;See, Fluss oder Gewässer in der Nähe;;;1
CAMO;3;de;Inland / Gebirge;Genießen Sie Ihren Landurlaub in der Natur;Land, grün, Natur, Umgebungswechsel;1
M10K;4;de;Entfernung zum Meer <10km;Ferien mit der Familie oder Freunden am Meer – auf zum Strand!;Meer, Strand, Küste, Ozean, Mittelmeer, Atlantik, Sandburgen;1
M5K;5;de;Entfernung zum Meer  <5km;;;1
M2K;6;de;Entfernung zum Meer <2km;Ferien mit der Familie oder Freunden am Meer – auf zum Strand!;Meer, Strand, Küste, Ozean, Mittelmeer, Atlantik, Sandburgen;1
AMON;7;de;In den Bergen;Tanken Sie neue Energie in den Bergen, mit Wandern, Rafting, Laufen oder Mountainbiken;Berge, Wandern, Fahrrad, Laufen, Fernwandern, Vulkane, Rafting;1
BOLA;8;de;Am See;Genießen Sie die friedliche Ruhe am See, um sich zu entspannen und neue Sportaktivitäten zu entdecken;See, Angeln, Seeufer, Wandern, Segeln, Windsurfen, Tretboot;1
BORI;9;de;Am Fluss;Der Fluss und sein Reichtum erwarten Sie und bieten Ihnen Möglichkeiten zum Wassersport, Wandern u. v. m.;Fluss, Wandern, Canyoning, Rafting;1
