TOBO;1;de;Wasserrutsche;Eine Rutschpartie in den Swimmingpool – Spaß pur!;Rutsche, Rutschpartie, Pentagliss, Baden, Wasser;1
PISC;2;de;Schwimmbad;Entspannende Momente am Swimmingpool erleben – beim Spielen, Schwimmen, Springen!;Swimmingpool, Wasserspiele, Baden, Sport, Schwimmen;1
PCOU;3;de;Hallenbad;Spaß können Sie beim Baden mit der Familie auch bei schlechtem Wetter haben – besuchen Sie das Hallenbad der Campinganlage;Hallenbad, schlechtes Wetter, Spiel, Famille, Baden;1
PAAQ;4;de;Aquapark;Aquapark, der Wasserspielspaß für die ganze Famille;Wasserpark, Wasserspiele, Swimmingpool, Baden, Famille, Kinder;1
SPAJ;5;de;Spa und Wellness;Tanken Sie neue Energie in unserem Wellness-Center;Spa, Massage, Wellness, Entspannung;1
