5;Airotel Oléron;piscine-camping-airoteloleron-7;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
5;Airotel Oléron;cheval-camping-airoteloleron-2;X;X;X;X;X;X;X;X;X;X;X;;X;;;;;;;;;;;
5;Airotel Oléron;chevaux-camping-airoteloleron-12;;X;X;X;X;X;X;X;X;X;X;;X;;;;;;;;;;;
5;Airotel Oléron;fleur-camping-airoteloleron-9;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;X;;;
5;Airotel Oléron;jeux-camping-airoteloleron-11;;X;;X;;;X;;;X;;X;;;;;;;;;;;;
5;Airotel Oléron;paon-camping-airoteloleron-3;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;X;;;
5;Airotel Oléron;piscine-camping-airoteloleron-6;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
5;Airotel Oléron;vegetation-camping-airoteloleron-8;X;;X;;;X;;;X;;;;;;;;;;;;X;;;
5;Airotel Oléron;vueaeriennepiscine-camping-airoteloleron-1;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
6;Aluna Vacances;canoe-camping-alunavacances-10;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;X;;
6;Aluna Vacances;piscine-camping-alunavacances-7;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
6;Aluna Vacances;clubenfants-camping-alunavacances-1;;X;;X;X;;X;X;;X;X;X;;;;;;;;;;;;
6;Aluna Vacances;piscine-camping-alunavacances-6;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
6;Aluna Vacances;piscine-camping-alunavacances-8;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
6;Aluna Vacances;tennis-camping-alunavacances-9;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;X;;
6;Aluna Vacances;tobogganaquatique-camping-alunavacances-4;;X;;X;X;;X;X;;X;X;X;;;;;;;;;;;;
6;Aluna Vacances;tobogganaquatique-camping-alunavacances-11;;X;;X;X;;X;X;;X;X;X;;;;;;;;;;;;
6;Aluna Vacances;vueaeriennecamping-camping-alunavacances-12;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
6;Aluna Vacances;vueaeriennepiscines-camping-alunavacances-2;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
6;Aluna Vacances;vueaeriennepiscines-camping-alunavacances-3;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
9;Ametlla;piscine-camping-ametlla-1;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
9;Ametlla;clubenfants-camping-ametlla-3;;X;;X;X;;X;X;;X;X;X;;;;;;;;;;;;
9;Ametlla;piscine-camping-ametlla-8;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
9;Ametlla;piscine-camping-ametlla-10;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
9;Ametlla;plage-camping-ametlla-7;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
9;Ametlla;plageverte-camping-ametlla-12;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
9;Ametlla;plageverte-camping-ametlla-13;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
9;Ametlla;spectacle-camping-ametlla-2;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X
176;Atlantic Club Montalivet;piscine-camping-atlanticclubmontalivet-14;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
176;Atlantic Club Montalivet;basket-camping-atlanticclubmontalivet-1;;X;;X;X;;X;X;;X;X;X;;;;;;;;;;;;
176;Atlantic Club Montalivet;cheminplage-camping-atlanticclubmontalivet-3;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
176;Atlantic Club Montalivet;chevaux-camping-atlanticclubmontalivet-5;;X;;X;X;;X;X;;X;X;;X;;;;;;;;;;;
176;Atlantic Club Montalivet;chevaux-camping-atlanticclubmontalivet-16;X;X;;X;X;;X;X;;X;X;;X;;;;;;;;;;;
176;Atlantic Club Montalivet;fitness-camping-atlanticclubmontalivet-6;X;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;X;;
176;Atlantic Club Montalivet;fitness-camping-atlanticclubmontalivet-7;X;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;X;;
176;Atlantic Club Montalivet;jeux-camping-atlanticclubmontalivet-8;;X;;X;;;X;;;X;;X;;;;;;;;;;;;
176;Atlantic Club Montalivet;pingpong-camping-atlanticclubmontalivet-13;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;X;;
176;Atlantic Club Montalivet;plage-camping-atlanticclubmontalivet-10;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
176;Atlantic Club Montalivet;plage-camping-atlanticclubmontalivet-11;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
176;Atlantic Club Montalivet;plage-camping-atlanticclubmontalivet-12;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
176;Atlantic Club Montalivet;plage-camping-atlanticclubmontalivet-17;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
176;Atlantic Club Montalivet;snack-camping-atlanticclubmontalivet-2;X;X;X;X;X;X;X;X;X;X;X;;;;;X;;;;;;;;
176;Atlantic Club Montalivet;tennis-camping-atlanticclubmontalivet-18;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;X;;
176;Atlantic Club Montalivet;toboggan-camping-atlanticclubmontalivet-15;;X;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
11;Azu'Rivage;piscine-camping-azurivage-2;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
11;Azu'Rivage;clubenfants-camping-azurivage-9;;X;;X;;;X;;;X;;X;;;;;;;;;;;;
11;Azu'Rivage;mer-camping-azurivage-8;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
11;Azu'Rivage;piscine-camping-azurivage-3;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
11;Azu'Rivage;piscine-camping-azurivage-4;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
11;Azu'Rivage;superette-camping-azurivage-6;X;X;X;X;X;X;X;X;X;X;X;;;;;X;;;;;;;;
11;Azu'Rivage;vueaerienne-camping-azurivage-7;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
14;Beau Rivage;piscine-camping-beaurivage-2;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
14;Beau Rivage;plage-camping-beaurivage-3;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
14;Beau Rivage;mobilhome-camping-beaurivage-1;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
14;Beau Rivage;vueaerienne-camping-beaurivage-4;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
16;Bois Soleil;piscine-camping-boissoleil-3;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
16;Bois Soleil;plage-camping-boissoleil-6;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
16;Bois Soleil;jeuxenfants-camping-boissoleil-1;;X;;X;;;X;;;X;;X;;;;;;;;;;;;
16;Bois Soleil;jeuxenfants-camping-boissoleil-9;;X;;X;;;X;;;X;;X;;;;;;;;;;;;
16;Bois Soleil;minigolf-camping-boissoleil-7;;X;;X;X;;X;X;;X;X;;;;;;;;;;;X;;
16;Bois Soleil;pataugeoir-camping-boissoleil-2;;X;;X;;;X;;;X;;X;;;;;;;;;;;;
16;Bois Soleil;pataugeoire-camping-boissoleil-8;;X;;X;;;X;;;X;;X;;;;;;;;;;;;
16;Bois Soleil;piscinecouverte-camping-boissoleil-5;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
17;Bordenéo;port-camping-bordeneo-16;X;X;X;X;X;X;X;X;X;X;X;;;;X;;;;;;;;;
17;Bordenéo;vueaeriennepiscines-camping-bordeneo-18;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
17;Bordenéo;accueil-camping-bordeneo-13;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
17;Bordenéo;jeuxenfants-camping-bordeneo-3;;X;;X;;;X;;;X;;X;;;;;;;;;;;;
17;Bordenéo;jeuxenfants-camping-bordeneo-4;;X;;X;;;X;;;X;;X;;;;;;;;;;;;
17;Bordenéo;pataugeoir-camping-bordeneo-7;;X;;X;;;X;;;X;;X;;;;;;;;;;;;
17;Bordenéo;piscine-camping-bordeneo-8;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
17;Bordenéo;piscine-camping-bordeneo-10;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
17;Bordenéo;plage-camping-bordeneo-11;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
17;Bordenéo;plage-camping-bordeneo-12;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;
17;Bordenéo;port-camping-bordeneo-15;X;X;X;X;X;X;X;X;X;X;X;;;;X;;;;;;;;;
17;Bordenéo;port-camping-bordeneo-19;X;X;X;X;X;X;X;X;X;X;X;;;;X;;;;;;;;;
17;Bordenéo;rempart-camping-bordeneo-14;X;X;X;X;X;X;X;X;X;X;X;;;;X;;;;;;;;;
17;Bordenéo;snack-camping-bordeneo-17;X;X;X;X;X;X;X;X;X;X;X;;;;;X;;;;;;;;
17;Bordenéo;terrassepiscine-camping-bordeneo-23;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
17;Bordenéo;toboggan-camping-bordeneo-5;;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
17;Bordenéo;toboggan-camping-bordeneo-6;;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
17;Bordenéo;toboggan-camping-bordeneo-21;;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
17;Bordenéo;toboggan-camping-bordeneo-22;;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;
21;Camping du Lac;animation-camping-campingdulac-22;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X
21;Camping du Lac;annimation-camping-campingdulac-1;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X
21;Camping du Lac;aquagym-camping-campingdulac-41;X;;X;;X;X;;X;X;;X;;;;;;;;;;;X;;
