AURE;91;de;aureilhan-40;Aureilhan (40);;;1
VIEL;92;de;vielle-saint-girons-40;Vielle Saint Girons (40);;;1
AZUR;93;de;azur-40;Azur (40);;;1
LOIX;94;de;loix-en-re-17;Loix en Ré (17);;;1
BOYA;95;de;boyardville-17;Boyardville (17);;;1
STLA;96;de;saint-laurent-de-la-pree-17;Saint Laurent de la Prée (17);;;1
SOUL;97;de;soulac-33;Soulac (33);;;1
LACA;98;de;lacanau-33;Lacanau (33);;;1
SANG;99;de;sanguinet-40;Sanguinet (40);;;1
MEZO;100;de;mezos-40;Mézos (40);;;1
LIMI;101;de;lit-et-mixe-40;Lit et Mixe (40);;;1
MESS;102;de;messanges-40;Messanges (40);;;1
SEIG;103;de;seignosse-40;Seignosse (40);;;1
BIDA;104;de;bidart-64;Bidart (64);;;1
CARS;105;de;carsac-aillac-24;Carsac Aillac (24);;;1
SIGE;106;de;sigean-11;Sigean (11);;;1
MARI;107;de;marina-di-bibbona;Marina Di Bibbona;;;1
PLAT;108;de;platja-de-pals;Platja de Pals;;;1
PLES;109;de;plescop-56;Plescop (56);;;1
PLOU;110;de;plouescat-29;Plouescat (29);;;1
STCL;111;de;saint-clement-des-baleines-17;Saint Clément des Baleines (17);;;1
PYLA;112;de;pyla-sur-mer;Pyla sur Mer;;;1
SETE;113;de;sete-34;Sète (34);;;1
CLAO;114;de;claouey;Claouey;;;1
CDIC;115;de;castellare-di-casinca-2b;Castellare Di Casinca (2B);;;1
AUBE;116;de;auberville-14;Auberville (14);;;1
COLO;117;de;colombiers-34;Colombiers (34);;;1
EGLE;118;de;egletons-19;Egletons (19);;;1
CHEV;119;de;chevilly-larue-94;Chevilly-Larue (94);;;1
CAMI;120;de;camiers-62;Camiers (62);;;1
STYV;121;de;saint-yvi-29;Saint Yvi (29);;;1
TOUQ;122;de;touquin-77;Touquin (77);;;1
MTMP;123;de;montagnac-montpezat-04;Montagnac-Montpezat (04);;;1
STCH;124;de;saint-christol-34;Saint Christol (34);;;1
SIGN;125;de;signes-83;Signes (83);;;1
FBRE;126;de;fabregues-34;Fabrègues (34);;;1
BEZI;127;de;beziers-34;Béziers (34);;;1
CSTR;128;de;castries-34;Castries (34);;;1
ANGL;129;de;les-angles-66;Les Angles (66);;;1
AUBI;130;de;aubignan-84;Aubignan (84);;;1
GRMA;131;de;grandcamp-maisy-14;Grandcamp-Maisy (14);;;1
MUN;132;de;munster;Munster;;;1
TRO;133;de;trogues;TROGUES;;;1
THON;134;de;thonon-les-bains;Thonon les bains;;;1
ONDR;135;de;ondres;Ondres;;;1
MAR;136;de;marigny-39;Marigny (39);;;1
VILL;137;de;villecroze;Villecroze;;;1
PASS;138;de;passy-74;Passy (74);;;1
CARN;139;de;carnac-56;Carnac (56);;;1
STCY;140;de;st-cyprien-66;St Cyprien (66);;;1
FREJ;141;de;frejus-83;Fréjus (83);;;1
STCA;142;de;saint-cast-22;Saint Cast (22);;;1
LABE;143;de;latour-bas-elne-66;Latour-Bas-Elne (66);;;1
CANN;144;de;le-cannet-06;Le Cannet (06);;;1
VEN;145;de;vendres-plage-34;Vendres-Plage (34);;;1
AMAN;146;de;st-aman-des-cots-12;St Aman des Côts (12);;;1
PORT;147;de;le-portel-62;Le Portel (62);;;1
STJU;148;de;saint-julien-des-landes-85;Saint Julien des Landes (85);;;1
CHOL;149;de;chateau-d-oleron-17;Chateau d'Oléron (17);;;1
MTLV;150;de;montalivet-33;Montalivet (33);;;1
JUVI;151;de;juvignac-34;Juvignac (34);;;1
NARB;152;de;narbonne-plage-11;Narbonne Plage (11);;;1
ROQA;153;de;la-roquette-d-antheron-13;La Roquette d'Anthéron (13);;;1
STAY;154;de;st-aygulf-83;St Aygulf (83);;;1
CRE;155;de;creixell-platja;Creixell platja;;;1
CAR;156;de;carqueiranne-83;Carqueiranne (83);;;1
CAVA;157;de;cavalino;Cavalino;;;1
DID;158;de;st-georges-de-didonne-17;St Georges-de-Didonne (17);;;1
VIC;159;de;vic-la-gardiole-34;Vic la Gardiole (34);;;1
BIE;160;de;bieshem-68;Bieshem (68);;;1
SEP;161;de;seppois-le-bas-68;Seppois-le-bas (68);;;1
NAG;162;de;nages-81;Nages (81);;;1
VOL;163;de;volonne-04;Volonne (04);;;1
LID;164;de;lido-delle-nazioni;Lido delle Nazioni;;;1
ALFA;165;de;alfaz-del-pi;Alfaz del PI;;;1
ARO;166;de;platja-d-aro;Platja d'Aro;;;1
PUNT;167;de;punta-marina;Punta Marina;;;1
CESE;168;de;cesenatico;Cesenatico;;;1
